7up;uma lata;330ml;149
abacate;metade;100;232
abacaxi em calda;uma taça;150;184
abacaxi;uma fatia;100;52
abóbora;um pires chá;100;12
açúcar mascavado;uma colher chá;4;14
açúcar;uma colher sopa;25;100
agrião;um prato sobremesa;25;6
água de coco;um copo médio;200ml;41
água tónica;um copo médio;200ml;35
aguardente;um copo médio;100ml;231
aipo;um pires;100;22
alcachofra;um pires;100;17
alface;um pires;100;19
alho;um pires;100;124
almôndegas;uma;50;60
ambrosia;uma porção;200;417
amêijoas;uma porção;100;73
ameixa preta;uma;50;22
ameixa vermelha;uma;50;27
ameixa-passa;uma xícara chá;100;177
amêndoa;uma pires;100;499
amendoim torrado;um pires chá;100;595
amido de milho;uma colher sopa;20;69
ananás;uma fatia;100;55
anchovas;uma porção;100;96
arando;uma porção;100;41
arroz branco cozido;duas colheres sopa;80;88
arroz integ cozido;duas colheres sopa;80;85
atum em água;uma lata;130;150
atum em óleo;uma lata;184;483
aveia em flocos;uma colher sopa;15;49
avelã;uma;3;19
azeite de oliveira;uma colher sopa;10;90
azeitona;10;50;110
bacalhau;uma posta média;100;122
bacon;uma colher sopa;25;142
banana;uma média;100;85
banha;uma colher sopa;20;180
batata cozida;uma média;80;68
batata frita;10 palitos;100;274
berbigão;uma porção;100;53
berinjela;uma colher sopa;30;6
beterraba;um prato sobremesa;35;17
bife a cavalo;uma;140;196
bife à milanesa;uma;160;580
bife à parmegiana;uma;200;700
bife frito;uma;130;330
bolacha água e sal;uma;8;32
bolacha integral;uma;15;74
bolacha maria;uma;15;78
bolacha recheada;uma;15;92
bolo de fubá;uma fatia média;70;193
bolo recheado;uma fatia;140;540
bolo simples;uma fatia;100;160
brigadeiro;uma;30;100
brócolos;um pires chá;60;22
búzios;uma porção;100;89
cabrito;uma porção;100;127
cação;uma posta média;100;100
caipirinha;um copo;100ml;260
caju;uma porção;100;46
camarão;quatro unid médias;100;76
canelone;uma;80;92
carne de soja;uma porção;100;106
carne frango;uma porção;100;107
carne galinha;uma porção;100;235
carne peru magra;uma porção;100;153
carne porco;uma porção;100;285
carne seca;uma porção;100;213
carne vaca;uma porção;100;140
castanha de caju;uma porção;100;609
caviar;uma colher sopa;20;40
cenoura;uma média;100;37
cereja;uma porção;100;48
cerveja;um copo;200ml;98
cerveja s/ álcool;um copo;200ml;44
champagne;uma taça;100ml;70
chantilly;uma colher sopa;20;90
cheeseburger;uma;150;600
chicória;um prato sobremesa;30;6
chocolate amargo;uma tablete;30;185
chocolate branco;uma tablete;30;170
chocolate em barra;uma tablete;30;163
clara de ovo;uma;33;16
coca-cola;uma lata;330ml;149
coelho;uma porção;100;120
cogumelo;um pires chá;80;15
conhaque;um copo médio;100ml;249
coração de galinha;uma;20;27
costela de boi;uma;100;380
costeleta de porco;uma;120;355
couve-de-bruxelas;um pires chá;100;59
couve-flor;um pires chá;100;25
couve-manteiga;um prato sobremesa;50;13
coxa de galinha;uma média;50;221
creme de leite;uma colher sopa;30;75
croquete de carne;uma média;25;86
damasco fresco;uma;35;19
damasco seco;duas;30;39
doce de leite;uma colher de sopa;30;87
dourada;uma porção;100;80
empada de frango;uma média;23;256
ervilha;uma colher sopa;20;18
espargos;um pires;100;27
esparguete;um prato;200;192
espinafre;um prato sobremesa;100;31
fanta;um copo médio;200ml;108
far. de mandioca;uma colher sopa;20;68
far. de milho;uma colher sopa;20;73
far. de trigo;uma colher sopa;20;75
farelo de trigo;uma colher sopa;20;50
fava seca;um pires;100;304
feijão preto;uma concha média;120;137
feijão seco;um pires;100;316
feijoada;uma porção;300;456
fiambre da perna;uma fatia;20;18
fígado de boi;um bife;130;157
figo fresco;um;100;68
figo seco;um;100;270
filete de frango;uma;120;128
filete mignon;uma;120;240
flocos de milho;uma colher de sopa;15;62
flocos de trigo;uma colher de sopa;15;59
folhado de salsicha;um médio;27;79
frango assado;um peito médio;180;217
frango assado;uma coxa média;40;48
frango assado;uma sobrecoxa média;65;78
frango frito;um filete médio;100;145
frango frito;uma coxa média;40;58
fusilli (massa);uma porção;70;248
gambas;um pires;100;65
gelado de creme;uma bola;100;208
gelatina de frutas;uma taça;100;238
geleia de frutas;uma colher sobremesa;15;36
gema de ovo;uma;17;55
gin;um copo;100ml;230
goiaba;uma;100;57
goiabada;uma fatia;30;83
grão-de-bico;um pires;100;338
guaraná;um copo médio;200ml;64
hambúrger carne;um;100;248
hambúrger frango;um;100;234
hambúrger peixe;um;100;74
hambúrger peru;um;100;148
iogurte desnatado;um pote;200;84
iogurte natural;um pote;200;152
javali;uma porção;100;107
jói laranja;uma copo médio;200;42
ketchup;uma colher de sopa;15;6
lagosta;uma porção;100;103
laranja;uma;100;53
lasanha;uma porção;300;620
leite condensado;uma colher sopa;30;101
leite desnatado;um copo grande;250;90
leite em pó desn.;uma colher sopa;20;70
leite em pó integral;uma colher sopa;20;90
leite integral;um copo grande;250;152
leite semidesnatado;um copo grande;250;135
lentilhas;um pires;100;325
licor;um cálice;30ml;103
limão;uma;60;22
linguado;um filete;100;82
linguiça;uma;60;190
lipton (pêssego);uma garrafa pequena;250ml;70
lombo de porco;uma fatia;100;363
lulas;uma porção;100;81
maça;uma unid média;100;45
maionese comum;uma colher sopa;15;107
maionese light;uma colher sopa;15;50
maizena;uma colher sopa;20;69
mamão papaya;metade;130;88
mandioca cozida;um pires chá;100;119
manga;metade;130;91
manteiga;uma colher café;5;38
maracujá;uma;100;90
margarina comum;uma colher café;5;36
margarina light;uma colher café;5;18
mel;uma colher sopa;20;62
melancia;uma fatia;100;24
melão;uma fatia;100;30
mexilhões;uma porção;100;74
milho verde;duas colheres sopa;40;40
milho;um pires;100;363
milk shake chocolate;um copo grande;300ml;345
milk shake morango;um copo grande;300ml;336
molho bolonhesa;uma colher sopa;20;36
molho branco;uma colher sopa;20;100
molho de tomate;uma colher sopa;20;10
morango;10;100;39
mortadela;uma fatia;15;42
mostarda;uma colher sopa;15;12
mousse chocolate;uma taça;150;300
mousse maracujá;uma colher sopa;35;99
nabo;um;100;16
natas;um pires;100;337
nestea;uma garrafa pequena;100ml;32
nozes;uma porção;100;670
óleo de canola;uma colher sopa;10;63
óleo de girassol;uma colher sopa;10;82
óleo de milho;uma colher sopa;10;90
óleo de soja;uma colher sopa;10;90
ostras;uma porção;100;65
ovo cozido;um;60;89
ovo (clara);uma;10;12
ovo frito;um;60;108
ovo inteiro crú;um;50;74
panqueca de carne;uma porção;90;171
pão de centeio;uma fatia;30;70
pão de glúten;uma fatia;30;76
pão de leite;uma fatia;30;92
pão de queijo;um;60;75
pão de trigo integral;uma fatia;30;73
pão francês;um;50;135
pão integral;uma fatia;30;70
pão italiano;uma fatia;50;137
paio york;uma fatia;25;35
papaia;meia;100;42
papos-de-anjo;um;40;116
pastel de carne;uma pequeno;50;165
pastel de queijo;uma pequeno;50;170
pato;uma porção;100;288
pavê de chocolate;um pedaço médio;86;153
peixe à escabeche;um filete médio;120;219
peixe à escabeche;uma posta média;200;366
peixe à milanesa;um filete médio;115;305
peixe cozido;uma posta média;200;196
peixe ensopado;um filete médio;120;156
peixe frito;um filete médio;120;436
pepino;uma média;150;22
pêra;uma média;100;38
peru (peito);uma fatia;100;134
peru;uma coxa média;100;186
pescada;um filete;100;71
pêssego em calda;uma;40;67
pêssego;uma;100;30
picanha;uma fatia;100;250
pimentão;uma;50;15
pinhão;uma porção;100;568
pipoca pronta;um pacote;100;403
pistacho;uma porção;100;640
pizza calabreza;uma fatia;120;345
pizza escarola;uma fatia;120;264
pizza muzzarela;uma fatia;120;289
pizza quatro queijos;uma fatia;120;370
pleno (romã e bagas);uma garrafa;100ml;39
polvo;uma porção;100;83
porco (carne gorda);uma porção;100;398
porco (carne magra);uma porção;100;146
presunto cozido;uma fatia média;25;85
pudim de chocolate;uma taça;150;173
pudim de claras;um porção;50;107
pudim de leite;uma taça;150;138
queijo camembert;uma fatia média;25;65
queijo cheddar;uma fatia média;25;75
queijo emental;uma fatia média;25;99
queijo flamengo;uma fatia média;25;88
queijo mozzarella;uma fatia média;25;61
queijo parmesano;uma fatia;25;93
queijo suíço;uma fatia média;25;101
rabanete;um;10;2
red bull;uma lata;250ml;113
repolho;um prato sobremesa;30;8
requeijão light;uma colher sopa;25;45
requeijão;uma colher sopa;25;24
ricota;uma fatia;25;45
romã;uma;150;105
rosbife;uma fatia;40;66
rúcula;um prato sobremesa;35;7
rum;um copo;100ml;231
salada de frutas;uma taça;150;230
salame;cinco fatias;25;74
salmão fresco;uma porção;100;176
salmonete;uma porção;100;123
salsicha comum;uma;50;165
salsicha de frango;uma;50;116
sapateira;uma porção;100;128
sardinha crua;uma;100;120
sardinha em óleo;uma;100;298
sopa de feijão;um prato fundo;300;289
sopa de legumes;um prato fundo;300;215
souflê de legumes;uma porção grande;150;170
sumo de laranja;um copo médio;200ml;90
sumo de tomate;um copo médio;200ml;22
sumol;uma garrafa pequena;250ml;108
sushi (normal);uma porção;15;37
tagliatelle (massa);uma porção;70;242
tangerina;uma;100;50
temaki (atum);uma porção;60;194
temaki (camarão);uma porção;60;303
temaki (salmão);uma porção;60;139
toblerone;uma porção;50;262
tomate;um;100;16
torrada;uma;30;84
torrada + manteiga;uma;40;157
torresmos;um pires chá;100;540
torta de limão;uma fatia média;85;335
torta de maçã;uma fatia;100;252
trigo;uma colher sopa;20;72
truta;um filete;100;88
uva passa;uma xícara chá;100;301
uva;um cacho peq;100;61
vieiras;uma porção;100;118
vinagre;uma colher sopa;10;2
vinho branco;um copo;150ml;87
vinho tinto;um copo;150ml;72
vodka;um copo;100ml;230
waffles;uma;25;74
whisky;um copo;50ml;147